element_0,element_1,element_2,element_3,element_4,element_5,element_6,element_7,element_8,element_9,testenv_0,testenv_1,coldway_0,coldway_1,coldway_2,coldway_3,coldway_4,coldway_5,coldway_6,coldway_7,coldway_8,coldway_9,coldway_10,coldway_11,coldway_12,coldway_13,coldway_14,coldway_15,coldway_16,coldway_17,YS,FS,UTS
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908821702003479,1.0712673664093018,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1769580841064453,0.7527178525924683,1.1378707885742188
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908821702003479,1.3944668769836426,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2524781227111816,0.5479112863540649,1.1312870979309082
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.7233843207359314,-0.8679298758506775,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48904818296432495,0.8996294736862183,0.6906507611274719
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.18931245803833,-0.8679298758506775,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48047277331352234,0.8679443597793579,0.6597068309783936
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.6552406549453735,-0.8679298758506775,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5201607942581177,1.5187870264053345,0.6891033053398132
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908821702003479,-0.8679298758506775,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586374759674072,0.641381561756134,1.02898108959198
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908821702003479,0.10166872292757034,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2391709089279175,0.3186420500278473,1.176248550415039
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908821702003479,0.42486825585365295,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1960575580596924,0.5187197923660278,1.1442854404449463
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908821702003479,1.0712673664093018,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1633597612380981,0.726263165473938,1.1689716577529907
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908821702003479,1.3944668769836426,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4160875082015991,0.669304609298706,1.2243322134017944
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.7233843207359314,-0.8679298758506775,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509796142578125,0.8359036445617676,0.7091079354286194
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.18931245803833,-0.8679298758506775,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374980568885803,0.9636397957801819,0.703610360622406
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.6552406549453735,-0.8679298758506775,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771423816680908,1.1836575269699097,0.6764745712280273
