epoch,train_mse_uts,train_mse_fs,full_mae_uts,full_mae_fs,full_score
308,0.04241623,0.13175420,0.13661070,0.23550013,0.37211083
309,0.04429905,0.14000429,0.13669729,0.23907880,0.37577610
310,0.04465061,0.12691481,0.13864325,0.23923078,0.37787403
311,0.04419177,0.14709386,0.14234208,0.23563047,0.37797254
312,0.04315894,0.12965196,0.14610364,0.23501579,0.38111943
313,0.04343903,0.14528684,0.14532268,0.23462389,0.37994657
314,0.04325813,0.13726817,0.14026435,0.23394150,0.37420584
315,0.04054222,0.12868464,0.13535114,0.23232967,0.36768080
316,0.04416747,0.14011019,0.13352183,0.23473525,0.36825708
317,0.04412491,0.12913840,0.13437983,0.23161665,0.36599648
318,0.04298049,0.13139620,0.13719057,0.22868119,0.36587176
319,0.04178271,0.13573284,0.13868400,0.22727145,0.36595546
320,0.04230511,0.12913331,0.13969818,0.22640827,0.36610645
321,0.04250301,0.13492306,0.13933526,0.22687177,0.36620703
322,0.04349649,0.14009981,0.13843988,0.23417638,0.37261626
323,0.04201321,0.14042759,0.13815594,0.23529768,0.37345362
324,0.04242466,0.13366780,0.13872077,0.23275186,0.37147263
325,0.04295090,0.12333997,0.14004847,0.22741048,0.36745895
326,0.04084922,0.12777887,0.13705498,0.22893213,0.36598711
327,0.04164055,0.13164285,0.13206457,0.22390100,0.35596557
328,0.04223946,0.12941331,0.12913935,0.22596167,0.35510102
329,0.04428547,0.11940677,0.13093564,0.23042151,0.36135715
330,0.04144022,0.13015983,0.13334398,0.22360997,0.35695395
331,0.03956759,0.13150790,0.13570383,0.22054513,0.35624896
332,0.04362751,0.13860393,0.13399008,0.22213937,0.35612945
333,0.03683269,0.11266597,0.13453102,0.22267692,0.35720794
334,0.04123035,0.12643290,0.13212614,0.22258298,0.35470912
335,0.04298270,0.12324724,0.12738495,0.22477762,0.35216257
336,0.03989482,0.13930914,0.12990731,0.22556558,0.35547289
337,0.04073535,0.12770270,0.13246259,0.22641565,0.35887824
338,0.04165112,0.12050193,0.13425183,0.22183082,0.35608265
339,0.04185544,0.11309724,0.13511205,0.21738578,0.35249783
340,0.04030385,0.13285677,0.13912164,0.21663605,0.35575768
341,0.03988613,0.11962399,0.14080757,0.22053932,0.36134689
342,0.03908588,0.12387542,0.13067915,0.22631320,0.35699235
343,0.04052484,0.13701816,0.12352458,0.21492800,0.33845259
344,0.03901159,0.10951687,0.12292541,0.21294813,0.33587354
345,0.03762889,0.12695082,0.12364379,0.21422119,0.33786498
346,0.03701170,0.12454304,0.12803498,0.21717536,0.34521034
347,0.03684885,0.11316623,0.13541077,0.22152905,0.35693982
348,0.03789590,0.12468158,0.13643651,0.22204863,0.35848513
349,0.03872129,0.12977245,0.13021810,0.21678078,0.34699889
350,0.03682590,0.11900855,0.12435188,0.21536466,0.33971655
351,0.03783237,0.11028834,0.12335826,0.21275926,0.33611752
352,0.03655872,0.11662904,0.12299589,0.22132289,0.34431878
353,0.03540064,0.12341441,0.12741546,0.23555923,0.36297469
354,0.03628627,0.12045826,0.13763852,0.22172800,0.35936652
355,0.03762464,0.11010467,0.13134643,0.21001044,0.34135687
356,0.03493596,0.10419799,0.12578078,0.21669300,0.34247378
357,0.03515667,0.13401747,0.12718639,0.21157677,0.33876316
358,0.03798594,0.14450637,0.12664904,0.21943295,0.34608199
359,0.03832422,0.11247879,0.12562527,0.23503356,0.36065882
360,0.03818275,0.11170480,0.12458551,0.22725751,0.35184301
361,0.03559962,0.11388768,0.12347232,0.21126179,0.33473411
362,0.03369492,0.11034655,0.12177324,0.21461906,0.33639230
363,0.03403810,0.11349763,0.12225387,0.21159676,0.33385063
364,0.03422871,0.12733075,0.12166439,0.21681541,0.33847980
365,0.03486731,0.11312608,0.12007737,0.23132387,0.35140124
366,0.03238643,0.12413388,0.12189026,0.22718509,0.34907535
367,0.03824227,0.11695094,0.12562194,0.21327245,0.33889440
368,0.03450992,0.10060087,0.12690206,0.21056841,0.33747047
369,0.03476133,0.11135182,0.12699674,0.20950545,0.33650219
370,0.03553599,0.10790191,0.12054951,0.21046014,0.33100966
371,0.03454897,0.10668234,0.11545993,0.22822250,0.34368244
372,0.03568104,0.13286100,0.11503915,0.22506946,0.34010862
373,0.03424914,0.12801909,0.11473480,0.20869201,0.32342681
374,0.03341528,0.11361520,0.11836394,0.21608876,0.33445270
375,0.03184376,0.13034445,0.12552612,0.21089067,0.33641678
376,0.03497153,0.12611070,0.12196220,0.21124937,0.33321156
377,0.03395176,0.11924464,0.11576428,0.22654749,0.34231177
378,0.03401506,0.12063710,0.11453748,0.22936478,0.34390227
379,0.03385979,0.10738474,0.11297600,0.21463558,0.32761158
380,0.03494357,0.10819747,0.11666985,0.20804760,0.32471745
381,0.03506757,0.10902481,0.12373453,0.21064825,0.33438279
382,0.03500982,0.10865751,0.11926255,0.20857222,0.32783477
383,0.03680371,0.12447835,0.11387480,0.20678775,0.32066255
384,0.03326443,0.10616922,0.11434744,0.21491812,0.32926556
385,0.03479291,0.11828495,0.11318942,0.21516342,0.32835285
386,0.03058898,0.10679053,0.11371288,0.20730871,0.32102159
387,0.03150782,0.10635783,0.12058137,0.20323828,0.32381964
388,0.03284835,0.11098988,0.12387676,0.20379834,0.32767510
389,0.03274844,0.11184821,0.11804817,0.20416787,0.32221604
