tem,fcr,Al,Zr,Sn,Mo,Cr,Nb,Si,V,Ta,Fe,T1,t1,T2,t2,T3,t3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,YS,FS,UTS,imgf,,,,
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,824.982,82.6936892,1187.708934,0.31328,,,,
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,1485.818276,26.4796712,1541.919467,0.31328,,,,
25,3500,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,1446.775969,23.6825707,1579.307342,0.31328,,,,
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,911.1902832,29.3313751,928.7000092,0.31328,,,,
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,576.354,33.7998,1301.4,0.31328,,,,
450,0,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,599.914,34.7202,1286.085787,0.31328,,,,
550,0,3,0,3,0,3,0,0,15,0,0,800,0.25,650,12,-1,-1,1,0,0,0,0,1,0,0,0,474.95,51.4831,763.8933333,0.31328,,,,
25,0,3,0,3,0,3,0,0,15,0,0,800,0.25,710,12,-1,-1,1,0,0,0,0,1,0,0,0,773.11,87.2606438,1056.53636,0.15028,,,,
25,2000,3,0,3,0,3,0,0,15,0,0,800,0.25,710,12,-1,-1,1,0,0,0,0,1,0,0,0,1414.194977,26.5707052,1450.372909,0.15028,,,,
25,3000,3,0,3,0,3,0,0,15,0,0,800,0.25,710,12,-1,-1,1,0,0,0,0,1,0,0,0,1482.929115,26.3042154,1523.165024,0.15028,,,,
25,4000,3,0,3,0,3,0,0,15,0,0,800,0.25,710,12,-1,-1,1,0,0,0,0,1,0,0,0,704.5142909,24.3932382,906.7351132,0.15028,,,,
350,0,3,0,3,0,3,0,0,15,0,0,800,0.25,710,12,-1,-1,1,0,0,0,0,1,0,0,0,575.546,47.2342,1405.2,0.15028,,,,
