epoch,train_mse_uts,train_mse_fs,train_mae_uts,val_mae_uts,train_mae_fs,val_mae_fs,val_score
228,0.05944999,0.17983879,0.17162006,0.15361865,0.26674235,0.30261102,0.45622967
229,0.05998427,0.15293992,0.17350675,0.15686449,0.26374435,0.29408091,0.45094541
230,0.06266239,0.15881109,0.17480871,0.15920942,0.25863078,0.28226152,0.44147094
231,0.05995378,0.16910040,0.17531857,0.16041507,0.25678137,0.27600124,0.43641631
232,0.06124508,0.16718483,0.17560881,0.16110449,0.25522199,0.27948299,0.44058748
233,0.06003292,0.17709108,0.17551531,0.16088393,0.25487202,0.29334757,0.45423150
234,0.05989503,0.15001483,0.17615950,0.16211529,0.26143071,0.30931160,0.47142689
235,0.05843112,0.15329516,0.17746483,0.16432235,0.25913849,0.30735466,0.47167701
236,0.05909808,0.16216317,0.17762807,0.16441137,0.25381351,0.29823098,0.46264234
237,0.05798127,0.15231559,0.17677552,0.16291647,0.25604883,0.29074794,0.45366441
238,0.06030579,0.16557491,0.17414415,0.15836309,0.25758630,0.29026452,0.44862761
239,0.05780913,0.15154150,0.17281148,0.15608466,0.25450331,0.29152083,0.44760549
240,0.05879869,0.14398493,0.17170253,0.15407769,0.25342390,0.29939419,0.45347188
241,0.05912857,0.16190976,0.17197992,0.15451477,0.26168451,0.31432790,0.46884267
242,0.05640169,0.16534489,0.17238310,0.15506409,0.26506469,0.31878972,0.47385381
243,0.05938336,0.17271163,0.17338580,0.15678230,0.25475290,0.30754271,0.46432501
244,0.05418503,0.16124111,0.17373669,0.15743342,0.24930701,0.28903267,0.44646609
245,0.06028762,0.15367065,0.17240950,0.15530579,0.25305560,0.28562367,0.44092946
246,0.05645476,0.15505742,0.17209393,0.15491012,0.24951330,0.29061684,0.44552696
247,0.06004998,0.15535565,0.17300999,0.15648936,0.25073963,0.30423835,0.46072771
248,0.05652905,0.14873503,0.17406982,0.15846075,0.26062387,0.31658781,0.47504856
249,0.05879842,0.15638910,0.17627944,0.16237801,0.25710693,0.31259111,0.47496912
250,0.05624919,0.14634956,0.17615549,0.16238554,0.24926816,0.30017298,0.46255852
251,0.06031433,0.13941909,0.17418945,0.15943028,0.24890251,0.28494325,0.44437353
252,0.05985131,0.14332306,0.17106792,0.15445231,0.25274137,0.28022063,0.43467294
253,0.05429449,0.15121099,0.16757642,0.14812081,0.25100917,0.27905759,0.42717840
254,0.05808722,0.14202039,0.16529921,0.14376239,0.24882412,0.28262693,0.42638932
255,0.05443086,0.16205777,0.16439551,0.14191857,0.25154716,0.29103631,0.43295488
256,0.05683583,0.15628666,0.16609336,0.14460750,0.25505707,0.29577005,0.44037755
257,0.05567140,0.14317685,0.16617273,0.14524317,0.25133345,0.29075831,0.43600148
258,0.05543642,0.14657348,0.16612621,0.14601140,0.24623738,0.27989924,0.42591064
259,0.05744475,0.14752506,0.16392893,0.14312094,0.24683192,0.27402088,0.41714182
260,0.05391722,0.13967243,0.16083011,0.13859905,0.24788697,0.27424952,0.41284858
261,0.05532451,0.14174747,0.15808071,0.13333121,0.24457945,0.27851346,0.41184467
262,0.05600977,0.14940821,0.15770203,0.13309000,0.24392873,0.28948006,0.42257006
263,0.05801176,0.14057530,0.15965313,0.13748448,0.24796753,0.30094624,0.43843071
264,0.05564873,0.13976258,0.16303906,0.14343706,0.24694817,0.30111372,0.44455078
265,0.05579424,0.14749725,0.16503939,0.14640382,0.24239324,0.29513252,0.44153634
266,0.05471260,0.15485276,0.16432367,0.14561877,0.23922987,0.28474253,0.43036130
267,0.05499328,0.14213501,0.16259874,0.14291734,0.23957573,0.28146490,0.42438224
268,0.05428607,0.14109908,0.16186351,0.14146227,0.23991145,0.28081754,0.42227980
269,0.05635364,0.14418435,0.16136217,0.14069927,0.24067095,0.28391153,0.42461079
270,0.05908342,0.14615387,0.16085365,0.13981044,0.24646811,0.29279843,0.43260887
