element_0,element_1,element_2,element_3,element_4,element_5,element_6,element_7,element_8,element_9,testenv_0,testenv_1,coldway_0,coldway_1,coldway_2,coldway_3,coldway_4,coldway_5,coldway_6,coldway_7,coldway_8,coldway_9,coldway_10,coldway_11,coldway_12,coldway_13,coldway_14,coldway_15,coldway_16,coldway_17,YS,FS
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1901048421859741,0.7715998291969299
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3049381971359253,0.9549173712730408
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4993880093097687,1.1733092069625854
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46520429849624634,1.2228816747665405
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.6552428007125854,-0.8679302334785461,0.0,0.0,0.0,0.0,0.11778303980827332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4397575855255127,2.302344560623169
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9432600736618042,0.8582112193107605
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.133208990097046,0.3249397873878479
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2589226961135864,0.5846233367919922
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2982473373413086,0.8010650873184204
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3450424671173096,0.7346519231796265
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47623372077941895,0.9888527989387512
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46214357018470764,1.0883177518844604
6.5,2.0,0.0,1.0,0.0,0.0,0.15000000596046448,1.0,0.0,0.0,1.6552428007125854,-0.8679302334785461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053479671478271,1.479420781135559
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9155104160308838,0.7231501340866089
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0479289293289185,0.36617910861968994
